"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","England","Unit","Selected area","England","Unit","Base population","Source","Geography","Time period"
"Household composition","Other household types",4.8,6.9,"%","90","1620934","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is not deprived in any dimension",57,48.4,"%","1067","11349737","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in one dimension",30.1,33.5,"%","563","7842691","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in two dimensions",10.8,14.2,"%","203","3320584","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in three dimensions",2.1,3.7,"%","40","868104","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in four dimensions",NA,0.2,"%","0","54970","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Energy efficiency of housing","Band A",NA,0.3,"%","0","44803","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band B",3.4,15.3,"%","16","2016172","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band C",58.5,33.1,"%","278","4352900","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band D",30.3,37,"%","144","4874216","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band E",5.5,11.7,"%","26","1535964","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band F",1.7,2,"%","8","259961","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band G",0.6,0.6,"%","3","74959","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Ethnic group","Asian, Asian British or Asian Welsh",1.9,9.6,"%","84","5426392","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Black, Black British, Black Welsh, Caribbean or African",1,4.2,"%","43","2381724","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Mixed or Multiple ethnic groups",1.7,3,"%","76","1669378","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","White",94.7,81,"%","4121","45783401","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Other ethnic group",0.6,2.2,"%","27","1229153","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","One or more UK identity only",96.6,88,"%","4199","49704272","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","UK identity and non-UK identity",0.7,2,"%","31","1156024","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","Non-UK identity only",2.7,10,"%","116","5629752","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","No religion",29.9,36.7,"%","1301","20715664","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Christian",61.1,46.3,"%","2656","26167899","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Buddhist",0.3,0.5,"%","12","262433","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Hindu",NA,1.8,"%","0","1020533","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Jewish",0.5,0.5,"%","21","269283","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Muslim",2,6.7,"%","88","3801186","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Sikh",NA,0.9,"%","0","520092","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Other religion",0.4,0.6,"%","17","332410","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Not answered",5.7,6,"%","249","3400548","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Very good health",52.6,48.5,"%","2287","27390829","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Good health",33.6,33.7,"%","1459","19040735","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Fair health",10,12.7,"%","435","7147346","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Bad health",3.2,4,"%","138","2248255","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Very bad health",0.6,1.2,"%","27","662881","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Disability","Disabled under the Equality Act",13.3,17.3,"%","578","9774510","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Disability","Not disabled under the Equality Act",86.7,82.7,"%","3772","46715538","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides no unpaid care",91.5,91.2,"%","3748","48734833","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 19 hours or less unpaid care a week",5,4.3,"%","206","2303725","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 20 to 49 hours unpaid care a week",1.7,1.8,"%","71","969769","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 50 or more hours unpaid care a week",1.8,2.6,"%","73","1404771","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Main language is English (English or Welsh in Wales)",98,90.8,"%","4089","49652172","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Can speak English very well",1.1,4,"%","45","2212300","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Can speak English well",0.6,3.3,"%","26","1803439","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Cannot speak English well",0.3,1.6,"%","12","861288","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Cannot speak English",NA,0.3,"%","0","156892","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","Whole house or bungalow",84.3,77.4,"%","1579","18128595","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","Flat, maisonette or apartment",15.6,22.2,"%","292","5207596","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","A caravan or other mobile or temporary structure",0.1,0.4,"%","1","99894","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","No cars or vans in household",11.9,23.5,"%","223","5516098","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","1 car or van in household",44.5,41.3,"%","833","9674645","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","2 cars or vans in household",34.5,26.1,"%","646","6106970","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","3 or more cars or vans in household",9.1,9.1,"%","170","2138372","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Central heating","Does not have central heating",1.1,1.5,"%","20","351635","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Central heating","Does have central heating",98.9,98.5,"%","1850","23084450","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","1 bedroom",6.6,11.6,"%","124","2723171","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","2 bedrooms",32.4,27.3,"%","605","6394723","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","3 bedrooms",42.1,40,"%","786","9373469","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","4 or more bedrooms",18.9,21.1,"%","354","4944722","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","+2 or more",32.9,35.6,"%","615","8341234","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","+1",42.9,33.2,"%","803","7791513","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","0",22,26.8,"%","411","6278647","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","-1",2,3.6,"%","37","854416","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Occupancy rating for bedrooms","-2 or less",0.3,0.7,"%","5","170275","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Owns outright",33.5,32.5,"%","627","7624693","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Owns with a mortgage or loan or shared ownership",37.9,29.8,"%","710","6980323","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Social rented",6.7,17.1,"%","125","4005663","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Tenure of household","Private rented or lives rent free",22,20.6,"%","412","4825406","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","No second address",96.3,94.6,"%","4191","53463370","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","Second address is in the UK",3.1,4.1,"%","136","2311039","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Second address indicator","Second address is outside the UK",0.5,1.3,"%","23","715639","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Less than 10km",37.4,35.4,"%","912","9334244","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","10km to less than 30km",18.4,14.4,"%","448","3802269","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","30km and over",2.2,4.3,"%","54","1130937","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Works mainly from home",26.2,31.5,"%","639","8321252","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Distance travelled to work","Other",15.8,14.5,"%","386","3816512","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Work mainly at or from home",26.2,31.5,"%","639","8321252","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Underground, metro, light rail, tram",0.8,1.9,"%","20","504716","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Train",0.9,2,"%","23","517902","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Bus, minibus or coach",2.3,4.3,"%","57","1129539","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Taxi",0.6,0.7,"%","14","192884","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Motorcycle, scooter or moped",0.5,0.5,"%","12","124207","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Driving a car or van",59.7,44.5,"%","1455","11751945","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Passenger in a car or van",3.6,3.9,"%","89","1017402","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Bicycle",0.7,2.1,"%","16","554215","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","On foot",3.9,7.6,"%","95","2016981","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Method of travel to workplace","Other method of travel to work",0.8,1,"%","19","274171","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically active: In employment",69.2,57.4,"%","2435","26405214","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically active: Unemployed",3,3.5,"%","105","1596288","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Economic activity status","Economically inactive",27.8,39.1,"%","980","18005455","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Worked in the last 12 months",14.5,13.2,"%","158","2592965","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Not worked in the last 12 months",63.7,61.1,"%","693","11983992","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Employment history","Not in employment: Never worked",21.8,25.6,"%","237","5024786","people aged 16 years and over not in employment","people aged 16 years and over not in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","1. Managers, directors and senior officials",10.6,12.9,"%","259","3403916","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","2. Professional occupations",18.2,20.3,"%","442","5356649","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","3. Associate professional and technical occupations",15,13.3,"%","366","3499749","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","4. Administrative and secretarial occupations",10.7,9.3,"%","261","2446565","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","5. Skilled trades occupations",11.7,10.2,"%","284","2683139","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","6. Caring, leisure and other service occupations",7.9,9.3,"%","193","2447148","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","7. Sales and customer service occupations",8.8,7.5,"%","214","1972553","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","8. Process, plant and machine operatives",7.9,6.9,"%","193","1832666","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Occupation","9. Elementary occupations",9.2,10.5,"%","223","2762829","people aged 16 years and over in employment","people aged 16 years and over in employment","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L1, L2 and L3: Higher managerial, administrative and professional occupations",11.9,13.2,"%","418","6092791","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Socio-economic Classification (NS-SeC)","L4, L5 and L6: Lower managerial, administrative and professional occupations",23.5,19.9,"%","827","9172372","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
