"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Bolton","Unit","Selected area","Bolton","Unit","Base population","Source","Geography","Time period"
"Household deprivation","Household is not deprived in any dimension",57,43.2,"%","1067","51290","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in one dimension",30.1,34.1,"%","563","40539","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in two dimensions",10.8,17.2,"%","203","20373","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in three dimensions",2.1,5.3,"%","40","6244","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in four dimensions",NA,0.3,"%","0","343","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Energy efficiency of housing","Band A",NA,0.1,"%","0","75","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band B",3.4,8.4,"%","16","5092","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band C",58.5,37.2,"%","278","22430","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band D",30.3,40.6,"%","144","24468","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band E",5.5,11.3,"%","26","6809","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band F",1.7,1.9,"%","8","1153","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band G",0.6,0.4,"%","3","248","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Ethnic group","Asian, Asian British or Asian Welsh",1.9,20.1,"%","84","59596","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Black, Black British, Black Welsh, Caribbean or African",1,3.8,"%","43","11238","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Mixed or Multiple ethnic groups",1.7,2.2,"%","76","6643","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","White",94.7,71.9,"%","4121","212941","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Other ethnic group",0.6,1.9,"%","27","5542","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","One or more UK identity only",96.6,89.2,"%","4199","263862","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","UK identity and non-UK identity",0.7,1.3,"%","31","3987","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","Non-UK identity only",2.7,9.5,"%","116","28117","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","No religion",29.9,25.8,"%","1301","76244","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Christian",61.1,47,"%","2656","139144","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Buddhist",0.3,0.2,"%","12","576","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Hindu",NA,2,"%","0","5887","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Jewish",0.5,0.1,"%","21","159","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Muslim",2,19.9,"%","88","58997","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Sikh",NA,0.1,"%","0","219","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Other religion",0.4,0.3,"%","17","979","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Not answered",5.7,4.6,"%","249","13758","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Very good health",52.6,48,"%","2287","142076","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Good health",33.6,32.7,"%","1459","96785","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Fair health",10,13.1,"%","435","38905","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Bad health",3.2,4.7,"%","138","13968","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Very bad health",0.6,1.4,"%","27","4229","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Disability","Disabled under the Equality Act",13.3,18.1,"%","578","53598","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Disability","Not disabled under the Equality Act",86.7,81.9,"%","3772","242365","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides no unpaid care",91.5,90.6,"%","3748","251525","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 19 hours or less unpaid care a week",5,4.1,"%","206","11477","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 20 to 49 hours unpaid care a week",1.7,2.1,"%","71","5902","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 50 or more hours unpaid care a week",1.8,3.1,"%","73","8601","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Main language is English (English or Welsh in Wales)",98,89.1,"%","4089","253869","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Can speak English very well",1.1,3.4,"%","45","9764","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Can speak English well",0.6,4.3,"%","26","12303","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Cannot speak English well",0.3,2.7,"%","12","7590","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Cannot speak English",NA,0.5,"%","0","1558","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","Whole house or bungalow",84.3,86.6,"%","1579","102919","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","Flat, maisonette or apartment",15.6,13.3,"%","292","15783","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","A caravan or other mobile or temporary structure",0.1,0.1,"%","1","89","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","No cars or vans in household",11.9,24.8,"%","223","29427","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","1 car or van in household",44.5,42.8,"%","833","50816","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","2 cars or vans in household",34.5,25.2,"%","646","29967","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","3 or more cars or vans in household",9.1,7.2,"%","170","8580","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Central heating","Does not have central heating",1.1,1.5,"%","20","1747","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Central heating","Does have central heating",98.9,98.5,"%","1850","117042","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","1 bedroom",6.6,9.5,"%","124","11272","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","2 bedrooms",32.4,32.3,"%","605","38324","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","3 bedrooms",42.1,41.7,"%","786","49567","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","4 or more bedrooms",18.9,16.5,"%","354","19627","households","all households","Office for National Statistics - Census 2021","Output area","2021"
