"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Greater Manchester","Unit","Selected area","Greater Manchester","Unit","Base population","Source","Geography","Time period"
"Household composition","Other household types",4.8,6.8,"%","90","80414","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is not deprived in any dimension",57,45.8,"%","1067","539608","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in one dimension",30.1,33.1,"%","563","389718","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in two dimensions",10.8,16,"%","203","188022","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in three dimensions",2.1,4.9,"%","40","57756","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in four dimensions",NA,0.3,"%","0","3134","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Energy efficiency of housing","Band A",NA,0.2,"%","0","1081","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band B",3.4,13.7,"%","16","91328","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band C",58.5,36.5,"%","278","243964","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band D",30.3,37.4,"%","144","250133","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band E",5.5,10.5,"%","26","70354","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band F",1.7,1.4,"%","8","9563","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Energy efficiency of housing","Band G",0.6,0.4,"%","3","2426","assessed properties","all assessed properties","ONS analysis of Energy Performance Certificates","Lower layer super output area","Financial year ending 2024"
"Ethnic group","Asian, Asian British or Asian Welsh",1.9,13.6,"%","84","389283","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Black, Black British, Black Welsh, Caribbean or African",1,4.7,"%","43","134114","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Mixed or Multiple ethnic groups",1.7,3,"%","76","86520","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","White",94.7,76.4,"%","4121","2190838","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Ethnic group","Other ethnic group",0.6,2.3,"%","27","66997","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","One or more UK identity only",96.6,88.4,"%","4199","2535488","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","UK identity and non-UK identity",0.7,1.7,"%","31","48097","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"National identity","Non-UK identity only",2.7,9.9,"%","116","284174","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","No religion",29.9,31.9,"%","1301","915592","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Christian",61.1,47,"%","2656","1347104","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Buddhist",0.3,0.3,"%","12","9529","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Hindu",NA,1,"%","0","27892","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Jewish",0.5,1,"%","21","28075","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Muslim",2,13,"%","88","373877","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Sikh",NA,0.3,"%","0","7353","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Other religion",0.4,0.4,"%","17","10801","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Religion","Not answered",5.7,5.1,"%","249","147541","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Very good health",52.6,48.7,"%","2287","1396558","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Good health",33.6,32.5,"%","1459","930771","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Fair health",10,12.9,"%","435","370504","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Bad health",3.2,4.6,"%","138","130972","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"General health","Very bad health",0.6,1.4,"%","27","38957","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Disability","Disabled under the Equality Act",13.3,18.3,"%","578","525975","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Disability","Not disabled under the Equality Act",86.7,81.7,"%","3772","2341787","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides no unpaid care",91.5,91.1,"%","3748","2455135","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 19 hours or less unpaid care a week",5,4,"%","206","108117","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 20 to 49 hours unpaid care a week",1.7,2,"%","71","55045","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Provision of unpaid care","Provides 50 or more hours unpaid care a week",1.8,2.8,"%","73","76075","people aged five years and over","people aged five years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Main language is English (English or Welsh in Wales)",98,90.3,"%","4089","2497363","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Can speak English very well",1.1,3.7,"%","45","103028","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Can speak English well",0.6,3.6,"%","26","98801","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Cannot speak English well",0.3,2,"%","12","55548","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Proficiency in English","Cannot speak English",NA,0.4,"%","0","10864","people aged three years and over","people aged three years and over","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","Whole house or bungalow",84.3,80.6,"%","1579","949548","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","Flat, maisonette or apartment",15.6,19.3,"%","292","227773","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Accommodation type","A caravan or other mobile or temporary structure",0.1,0.1,"%","1","923","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","No cars or vans in household",11.9,27,"%","223","318605","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","1 car or van in household",44.5,42.9,"%","833","505665","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","2 cars or vans in household",34.5,23.7,"%","646","278698","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of cars or vans","3 or more cars or vans in household",9.1,6.4,"%","170","75277","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Central heating","Does not have central heating",1.1,1.5,"%","20","17440","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Central heating","Does have central heating",98.9,98.5,"%","1850","1160800","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","1 bedroom",6.6,10.7,"%","124","126514","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","2 bedrooms",32.4,30.5,"%","605","359935","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","3 bedrooms",42.1,42.8,"%","786","504478","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Number of bedrooms","4 or more bedrooms",18.9,15.9,"%","354","187318","households","all households","Office for National Statistics - Census 2021","Output area","2021"
